Date,Nifty
03-01-2000,1592.2
04-01-2000,1638.7
05-01-2000,1595.8
06-01-2000,1617.6
07-01-2000,1613.3
10-01-2000,1632.95
11-01-2000,1572.5
12-01-2000,1624.8
13-01-2000,1621.4
14-01-2000,1622.75
17-01-2000,1611.6
18-01-2000,1606.7
19-01-2000,1634.85
20-01-2000,1601.1
21-01-2000,1620.6
24-01-2000,1613.6
25-01-2000,1586.4
27-01-2000,1603.9
28-01-2000,1599.1
31-01-2000,1546.2
01-02-2000,1549.5
02-02-2000,1588
03-02-2000,1597.9
04-02-2000,1599.75
07-02-2000,1636.6
08-02-2000,1662.75
09-02-2000,1689.65
10-02-2000,1711.2
11-02-2000,1756
14-02-2000,1744.5
15-02-2000,1702.55
16-02-2000,1711.1
17-02-2000,1742.1
18-02-2000,1717.8
21-02-2000,1753.5
22-02-2000,1739.05
23-02-2000,1696.4
24-02-2000,1732
25-02-2000,1710.45
28-02-2000,1722.55
29-02-2000,1654.8
01-03-2000,1712.7
02-03-2000,1696.55
03-03-2000,1656
06-03-2000,1688.5
07-03-2000,1702.75
08-03-2000,1666.35
09-03-2000,1646.25
10-03-2000,1602.75
13-03-2000,1560.7
14-03-2000,1567.05
15-03-2000,1620.1
16-03-2000,1562.2
21-03-2000,1556.6
22-03-2000,1589.6
23-03-2000,1553.4
24-03-2000,1569.55
27-03-2000,1562.95
28-03-2000,1568.6
29-03-2000,1558.25
30-03-2000,1549.5
31-03-2000,1528.45
03-04-2000,1534.75
04-04-2000,1428.1
05-04-2000,1434.65
06-04-2000,1452.95
07-04-2000,1557.15
10-04-2000,1613
11-04-2000,1624.65
12-04-2000,1592.7
13-04-2000,1518.65
17-04-2000,1443.55
18-04-2000,1414.8
19-04-2000,1404.95
20-04-2000,1415.65
24-04-2000,1388
25-04-2000,1359.45
26-04-2000,1436.1
27-04-2000,1416.9
28-04-2000,1406.55
02-05-2000,1333.45
03-05-2000,1316.05
04-05-2000,1380.55
05-05-2000,1422.4
08-05-2000,1365.05
09-05-2000,1378.55
10-05-2000,1363.15
11-05-2000,1304.55
12-05-2000,1282.8
15-05-2000,1299.25
16-05-2000,1306.85
17-05-2000,1311.65
18-05-2000,1293.4
19-05-2000,1268
22-05-2000,1233
23-05-2000,1224.4
24-05-2000,1235.9
25-05-2000,1247.65
26-05-2000,1275.35
29-05-2000,1311.05
30-05-2000,1344.85
31-05-2000,1380.45
01-06-2000,1349
02-06-2000,1389.25
05-06-2000,1404.6
06-06-2000,1421.75
07-06-2000,1430.35
08-06-2000,1463.65
09-06-2000,1467.2
